idindividu;identite;prenom;nom;surnom;provVilleT;titreT;titreTN;professionT;professionTN;chargeEcclT;chargeEcclTN;provDiocT;santeT;statutT;statutTN;titre2T;titre2TN;profession2T;profession2TN;genre
2501;joan mucii anthoni;joan;mucii anthoni;NULL;carpinet;seigneur;seigneur;abreviateur du pape;abreviateur;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;scribe du pape;scribe;homme
2491;juan benezech;juan;benezech;NULL;NULL;maitre;maitre;notaire de la cour de l official;notaire;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2494;bernart de buguet;bernart;de buguet;NULL;NULL;le discret seigneur;seigneur;savant en droit;savant en droit;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;procureur en cour de rome;procureur;homme
2800;mermet de soana;mermet;de soana;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2807;matheus joyo;matheus;joyo;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2808;raymond montavern;raymond;montavern;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2810;bonifaci de gorian;bonifaci;de gorian;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2822;guilhon starenc;guilhon;starenc;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2827;perrinetus de recuperensa;perrinetus;de recuperensa;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2508;johan de liveyvilla;johan;de liveyvilla;NULL;NULL;NULL;NULL;agriculteur;agriculteur;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2510;guilhem bonardel;guilhem;bonardel;NULL;NULL;NULL;NULL;sabotier;sabotier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2538;jaucme baralh;jaucme;baralh;NULL;avignon;bourgeois;bourgeois;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2506;bertran guillem;bertran;guillem;NULL;barbentane;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2732;peire de peiano;peire;de peiano;NULL;NULL;NULL;NULL;notaire de la chambre apostolique;notaire;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2724;johan testart;johan;testart;NULL;NULL;NULL;NULL;marchand;marchand;NULL;NULL;diocese de sens;NULL;citoyen d avignon;citoyen d avignon;NULL;NULL;NULL;NULL;homme
1605;geraldus de gran;gerarldus;de gran;NULL;NULL;NULL;NULL;malgluzator;malgluzator;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fustier;fustier;homme
1124;catherine de baucio;catherine;de baucio;NULL;NULL;dame de courthezon;dame;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;noble;noble;NULL;NULL;femme
1652;heredes johannis de auzilhaco;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
204;heredes gilete durandi;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
296;heredes johannis textoris alias agasse;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
351;heres andree de solo;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
113;guillelmus judicis;guillelmus;judicis;NULL;NULL;seigneur;seigneur;NULL;NULL;cardinal;cardinal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2568;guilhem garenton;guilhem;garenton;NULL;saint remy de provence;ecuyer du cardinal raynaud des ursins;ecuyer;NULL;NULL;NULL;NULL;diocese d diocese d avignon;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
147;bernardus de la fita;bernardus;de la fita;NULL;NULL;maitre;maitre;jurisconsulte;jurisconsulte;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;procureur;procureur;homme
2859;enfans de peyre feutrie;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
2597;margarita de dorderac;margarita;de dorderac;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2599;fransesca corrobiera;fransesca;corrobiera;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2602;catherina recordier;catherina;recordier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2605;coleta canut;coleta;canut;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
555;raymundus milonis;raymundus;milonis;NULL;avignon;NULL;NULL;drapier;drapier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2841;maynarde michaele;maynarde;michaele;NULL;NULL;NULL;NULL;marchand de legumes et de fruits;marchand de legumes et de fruits;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2618;guilhem paul;guilhem;paul;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2619;bernart mantelin;bernart;mantelin;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2622;peyre calla;peyre;calla;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2634;christophe de poggibonsi;christophe;de poggibonsi;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
471;jacobus laugerii;jacobus;laugerii;NULL;NULL;maitre;maitre;lapicide;lapicide;NULL;NULL;NULL;NULL;citoyen d avignon;citoyen d avignon;NULL;NULL;NULL;NULL;homme
2608;agnes lautelma;agnes;lautelma;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2614;heycelena forgeron;heycelena;forgeron;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2617;johannetta de rothomages;johannetta;de rothomages;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2638;biatrix artus;biatrix;artus;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2834;mona alisa;mona;alisa;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2848;guilhem guilabert;guilhem;guilabert;NULL;avignon;NULL;NULL;fustier;fustier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2846;pont ricau;pont;ricau;NULL;NULL;NULL;NULL;fustier;fustier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2847;peyre ricau;peyre;ricau;NULL;NULL;NULL;NULL;fustier;fustier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2854;guilhem garnier;guilhem;garnier;NULL;NULL;NULL;NULL;tailleur;tailleur;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2855;peyre barutel;peyre;barutel;NULL;NULL;NULL;NULL;patissier;patissier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2856;joan chalvent;joan;chalvent;NULL;NULL;NULL;NULL;pelhier;pelhier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2860;ugo audubert;ugo;audubert;NULL;NULL;NULL;NULL;epicier;epicier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2877;heres de hugo tranta livras;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
1233;guillelmus de mazano;guillelmus;de mazano;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
1239;hugonus gaufridi;hugonus;gaufridi;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
1243;michaelis jacobi;michaelis;jacobi;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
1230;jacobi bruni;jacobi;bruni;NULL;avignon;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
1241;johannes monerie;johannes;monerie;NULL;avignon;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
656;raymundus aulanhani;raymundus;aulanhani;de aurayca;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
676;bartomieu de bezausen�;bartomieu;de bezausen;robertonx;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2306;petrus poleti;petrus;poleti;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
1490;adam lodini;adam;lodini;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
1509;anthonius quarrelli;anthonius;quarrelli;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
1813;petrus quarrelli;petrus;quarrelli;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
1998;rabassani rabasse;rabassani;rabasse;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
1990;petrus rascacii;petrus;rascacii;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
1881;bernardus rascaeli;bernardus;rascaeli;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
1352;aprricus ferreti;aprricus;ferreti;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;diocese de besancon;NULL;habitant d avignon;habitant d avignon;NULL;NULL;NULL;NULL;homme
2959;eres de coleta taverniera;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
2961;eres de jaucme de mediolan;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
2964;eres guilhem flechier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
2966;eres ricau milhacii;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
2909;heres de francisco de tortona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
2911;eres joan de bederrida;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
2913;heres de peyre trota;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
2845;eres de pont et de peyre ricau fustier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
2849;eres de guilhem guilabert;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
2850;eres de guilhem pelhier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
2377;lombarda pegra;lombarda;pegra;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
1770;mona jurme;mona;jurme;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
1195;hugonus traverserii;hugonus;traverserii;NULL;NULL;maitre;maitre;NULL;NULL;NULL;NULL;NULL;NULL;citoyen d avignon;citoyen d avignon;NULL;NULL;NULL;NULL;homme
2842;curie marescalli pape;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;autorite
2843;curia episcopalis;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;autorite
2643;georgi sufren;georgi;sufren;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2645;lucieta sufren;lucieta;sufren;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2646;ferrayreta sufren;ferrayreta;sufren;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2647;katherineta sufren;katherineta;sufren;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2505;heres de peyre bel'ort;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
559;robertus de carlucio;robertus;de carlucio;NULL;NULL;NULL;NULL;huissier;huissier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;sergent d armes;sergent;homme
2653;clemense de pscariis;clemense;de pscariis;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2658;bonabentura de castroplebis;bonabentura;de castroplebis;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2673;doucelina garnier;doucelina;garnier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2694;alayzeta scortil;alayzeta;scortil;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2699;esclarmonda beroarda;esclarmonda;beroarda;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2736;anthoneta polina;anthoneta;polina;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2745;bertrandette faraut;bertrandette;faraut;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2747;sanchette faraut;sanchette;faraut;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2748;estorgia de olobrega;estorgia;de olobrega;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2499;izabel jardin;izabel;jardin;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2488;heres de bernart mantelin;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
2502;heres de peyre de tegula;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;heritier
2798;peyroneta ripert;peyroneta;ripert;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2809;galicia montavern;galicia;montavern;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2814;brune fornier;brune;fornier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2816;beatrix fornier;beatrix;fornier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
239;petrus bartholomei;petrus;bartholomei;NULL;burgo;NULL;NULL;agriculteur;agriculteur;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2829;douceline de brancols;douceline;de brancols;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2511;guiota negre;guiota;negre;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
1475;hugue prade;hugue;prade;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2512;andrineta calla;andrineta;calla;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
1077;johanne guigonis;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2513;katharina de regio;katharina;de regio;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;femme
2852;bertran colin;bertran;colin;NULL;villefranche;NULL;NULL;grossateur papa;grossateur papa;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2858;bernard escudier;bernard;escudier;lo ranc;NULL;NULL;NULL;savetier;savetier;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
2853;sublin sublimayre;sublin;sublimayre;NULL;pargamin;maitre;maitre;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;homme
