"idIndividu","identite","prenom","nom","surnom","provVille","titre","profession","chargeEccl","sante","provDioc","statut","residence","titre2","profession2","identiteNorm","genre"
1231,"guillelmus ricardi","guillelmus","ricardi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Guillelm Ricardi","homme"
1563,"catherine paschalis","catherine","paschalis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2183,"johanna martini","johanna","martini",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2020,"alasatia cutellerii","alasatia","cutellerii",NULL,NULL,"domina",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
1651,"heredes jacobi raucelini alias de massilia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
1653,"heredes johannis rostagni",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
1752,"mabilla raynoard","mabilla","raynoard",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
1583,"dulcelina recordi","dulcelina","recordi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
1763,"mathea redosse","mathea","redosse",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2231,"odeta refrenarii","odeta","refrenarii",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2389,"peyrona riberii","peyrona","riberii",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2321,"donzeleta rieu","donzeleta","rieu",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
1662,"honorata rivi","honorata","rivi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
1495,"agnesie rollande","agnesie","rollande",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
1491,"agnes pascalis","agnes","pascalis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
824,"jean XXII",NULL,NULL,NULL,NULL,NULL,NULL,"pape",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"autorite"
795,"johannes broche","johannes","broche",NULL,NULL,NULL,"pictor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2665,"johannes focart","johannes","focart",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2677,"aliot chassarel","aliot","chassarel",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2678,"johannes turlande","johannes","turlande",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2682,"berthomieu espiafam","berthomieu","espiafam",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2689,"peyre labet","peyre","labet",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2692,"anthonius ozili","anthonius","ozili",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2695,"stheve scortil","stheve","scortil",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2737,"perrisson pollin","perrisson","pollin",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2744,"guillem polie","guillem","polie",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2746,"poncet faraut","poncet","faraut",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2750,"christoforo geri","christoforo","geri",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2493,"johan del pont","johan","del pont",NULL,NULL,NULL,"barralhier",NULL,NULL,NULL,NULL,NULL,NULL,"serralerius",NULL,"homme"
2501,"joan mucii anthoni","joan","mucii anthoni",NULL,"carpinet","monsen","abreviador de nostre senhor lo papa",NULL,NULL,NULL,NULL,NULL,NULL,"scriptor papa",NULL,"homme"
2491,"juan benezech","juan","benezech",NULL,NULL,"maystre","notarius de la cort de monsenher l uficial d avilhon",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2494,"bernart de buguet","bernart","de buguet",NULL,NULL,"lo discret monsen","savi en drech",NULL,NULL,NULL,NULL,NULL,NULL,"procurador de la sancta cort de romana",NULL,"homme"
2800,"mermet de soana","mermet","de soana",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2807,"matheus joyo","matheus","joyo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2808,"raymond montavern","raymond","montavern",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2810,"bonifaci de gorian","bonifaci","de gorian",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2822,"guilhon starenc","guilhon","starenc",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2827,"perrinetus de recuperensa","perrinetus","de recuperensa",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2508,"johan de liveyvilla","johan","de liveyvilla",NULL,NULL,NULL,"laborador",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2510,"guilhem bonardel","guilhem","bonardel",NULL,NULL,NULL,"saboturier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2538,"jaucme baralh","jaucme","baralh",NULL,"avinhon","burgensis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2506,"bertran guillem","bertran","guillem",NULL,"berbentana",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2568,"guilhem garenton","guilhem","garenton",NULL,"sant romiech","scudier du cardinal raynaud","scudier du cardinal raynaud",NULL,NULL,"diocese d’avignon",NULL,NULL,NULL,NULL,NULL,"homme"
2732,"peire de peiano","peire","de peiano",NULL,NULL,NULL,"notaire de la chambre apostolique",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2724,"johan testart","johan","testart",NULL,NULL,NULL,"merchant",NULL,NULL,"diocese de sens","civis avinionis",NULL,NULL,NULL,NULL,"homme"
1605,"geraldus de gran","gerarldus","de gran",NULL,NULL,NULL,"malgluzator",NULL,NULL,NULL,NULL,NULL,NULL,"fustier",NULL,"homme"
1124,"catherine de baucio","catherine","de baucio",NULL,NULL,"domina de curthedone",NULL,NULL,NULL,NULL,NULL,NULL,"nobilis",NULL," Catherine de Baucio","femme"
1652,"heredes johannis de auzilhaco",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
204,"heredes gilete durandi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heredes gilete","heritier"
296,"heredes johannis textoris alias agasse",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heredes johannis textor","heritier"
351,"heres andree de solo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heres andre","heritier"
113,"guillelmus judicis","guillelmus","judicis",NULL,NULL,"reverendissimus in christo pater et dominus",NULL,"divina providentia tituli sancte marie in cosmedin sacrosancte romane ecclesie diaconus cardinalis",NULL,NULL,NULL,NULL,NULL,NULL,"guillelm judici","homme"
147,"bernardus de la fita","bernardus","de la fita",NULL,NULL,"magister","jurisperitus",NULL,NULL,NULL,NULL,NULL,NULL,"procurator","bernard de la fita","homme"
2859,"enfans de peyre feutrie",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
2597,"margarita de dorderac","margarita","de dorderac",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2599,"fransesca corrobiera","fransesca","corrobiera",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2602,"catherina recordier","catherina","recordier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2605,"coleta canut","coleta","canut",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
555,"raymundus milonis","raymundus","milonis",NULL,"avinione",NULL,"draperius",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ramund milon","homme"
2841,"maynarde michaele","maynarde","michaele",NULL,NULL,NULL,"frucherie",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2618,"guilhem paul","guilhem","paul",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2619,"bernart mantelin","bernart","mantelin",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2622,"peyre calla","peyre","calla",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2634,"christophe de poggibonsi","christophe","de poggibonsi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
471,"jacobus laugerii","jacobus","laugerii",NULL,NULL,"magister","lapicida",NULL,NULL,NULL,"civis avinionis",NULL,NULL,NULL,"jacob laugerii","homme"
2608,"agnes lautelma","agnes","lautelma",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2614,"heycelena fabre","heycelena","fabre",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2617,"johannetta de rothomages","johannetta","de rothomages",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2638,"biatrix artus","biatrix","artus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2834,"mona alisa","mona","alisa",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2848,"guilhem guilabert","guilhem","guilabert",NULL,"avinione",NULL,"fustier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2846,"pons ricau","pons","ricau",NULL,NULL,NULL,"fustier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2847,"peyre ricau","peyre","ricau",NULL,NULL,NULL,"fustier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2854,"guilhem garnier","guilhem","garnier",NULL,NULL,NULL,"sartre",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2855,"peyre barutel","peyre","barutel",NULL,NULL,NULL,"pasticier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2856,"joan chalvent","joan","chalvent",NULL,NULL,NULL,"pelhier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2860,"ugo audubert","ugo","audubert",NULL,NULL,NULL,"speciayre",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2877,"heres de hugo tranta livras",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
1233,"guillelmus de mazano","guillelmus","de mazano",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Guillelm de Masan","homme"
1239,"hugonus gaufridi","hugonus","gaufridi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Hugonis Gaufridi","homme"
1243,"michaelis jacobi","michaelis","jacobi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Michael Jacob","homme"
1230,"jacobi bruni","jacobi","bruni",NULL,"avinione",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Jacob Bruni","homme"
1241,"johannes monerie","johannes","monerie",NULL,"avinione",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Johannis Monerie","homme"
656,"raymundus aulanhani","raymundus","aulanhani","de aurayca",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ramund aulanhani","homme"
676,"bartomieu de bezausen ","bartomieu","de bezausen","robertonx",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"bartomieu de bezausen","homme"
2306,"petrus poleti","petrus","poleti",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
1490,"adam lodini","adam","lodini",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
1509,"anthonius quarrelli","anthonius","quarrelli",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
1813,"petrus quarrelli","petrus","quarrelli",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
1998,"rabassani rabasse","rabassani","rabasse",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
1990,"petrus rascacii","petrus","rascacii",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
1881,"bernardus rascaeli","bernardus","rascaeli",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
1352,"aprricus ferreti","aprricus","ferreti",NULL,NULL,NULL,NULL,NULL,NULL,"bisuntinen. dioc.","habitator avinionis",NULL,NULL,NULL,NULL,"homme"
2959,"eres de coleta taverniera",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
2961,"eres de jaucme de mediolan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
2964,"eres guilhem flechier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
2966,"eres ricau milhacii",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
2909,"heres de francisco de tortona",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
2911,"eres joan de bederrida",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
2913,"heres de peyre trota",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
2845,"eres de pons et de peyre ricau fustier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
2849,"eres de guilhem guilabert",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
2850,"eres de guilhem pelhier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
2377,"lombarda pegra","lombarda","pegra",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
1770,"mona jurme","mona","jurme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
1195,"hugonus traverserii","hugonus","traverserii",NULL,NULL,"magister",NULL,NULL,NULL,NULL,"civis avinionis",NULL,NULL,NULL," Hugonis Traverserii","homme"
2842,"curie marescalli pape",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"autorite"
2843,"curia episcopalis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"autorite"
2643,"georgi sufren","georgi","sufren",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2645,"lucieta sufren","lucieta","sufren",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2646,"ferrayreta sufren","ferrayreta","sufren",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2647,"katherineta sufren","katherineta","sufren",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2505,"heres de peyre bel'ort",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
2653,"clemense de pscariis","clemense","de pscariis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2658,"bonabentura de castroplebis","bonabentura","de castroplebis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2673,"doucelina garnier","doucelina","garnier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2694,"alayzeta scortil","alayzeta","scortil",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2699,"esclarmonda beroarda","esclarmonda","beroarda",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2736,"anthoneta polina","anthoneta","polina",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2745,"bertrandette faraut","bertrandette","faraut",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2747,"sanchette faraut","sanchette","faraut",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2748,"estorgia de olobrega","estorgia","de olobrega",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2499,"izabel jardin","izabel","jardin",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2488,"heres de bernart mantelin",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
2502,"heres de peyre de tegula",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"heritier"
2798,"peyroneta ripert","peyroneta","ripert",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2809,"galicia montavern","galicia","montavern",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2814,"brune fornier","brune","fornier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2816,"beatrix fornier","beatrix","fornier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
239,"petrus bartholomei","petrus","bartholomei",NULL,"burgo",NULL,"cultor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"petri bartholomei","homme"
2829,"douceline de brancols","douceline","de brancols",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2511,"guiota negre","guiota","negre",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
1475,"hugue prade","hugue","prade",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2512,"andrineta calla","andrineta","calla",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
1077,"johanne guigonis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2513,"katharina de regio","katharina","de regio",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2852,"bertran colin","bertran","colin",NULL,"franca villa",NULL,"grossator papa",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
559,"robertus de carlucio","robertus","de carlucio",NULL,NULL,NULL,"hostiarius",NULL,NULL,NULL,NULL,NULL,NULL,"serviens armorum ","roberti de carlucio","homme"
2858,"bernard escudier","bernard","escudier","lo ranc",NULL,NULL,"sabatier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2853,"sublin sublimayre","sublin","sublimayre",NULL,"pargamin","maystre",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2867,"peyre durbe","peyre","durbe","de genoa",NULL,"maystre",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
1211,"petrus davidis","petrus","davidis",NULL,NULL,"magister",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Petri Davidis","homme"
1201,"laponis de ruspo","laponis","de ruspo",NULL,NULL,"dominus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Laponis de Ruspo","homme"
1204,"lanfranchi sicapanis","lanfranchi","sicapanis",NULL,NULL,"dominus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Lanfranchi Sicapanis","homme"
1226,"johannes de merannesio","johannes","de merannesio",NULL,NULL,"dominus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Johannis de Melanesio","homme"
1213,"alazatie arnaude","alazatie","arnaude",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Alasatia Arnaude","femme"
1216,"raymunde candelarie","raymunde","candelarie",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Ramunda candelari","femme"
1234,"johanne dalfie","johanne","dalfie",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Johanne Dalfie","femme"
1244,"johanne jacobi","johanne","jacobi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Johanne Jacob","femme"
1253,"catherine de adura","catherine","de adura",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Catherine de Adura","femme"
1254,"cathone vannerii","cathone","vannerii",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Cathone Vannerii","femme"
1250,"hospital sancti benedicti",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Hospital S- Benedicti","communaute"
1260,"gaudiose boqueri","gaudiose","boqueri",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Gaudiose Boqueri","femme"
1272,"johannete bonardelli","johannete","bonardelli",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," Johannete Bonardelli","femme"
1197,"pontius berilhi","pontius","berilhi",NULL,NULL,NULL,"notarius",NULL,NULL,NULL,NULL,NULL,NULL,NULL," Ponci Berilhi","homme"
1299,"anthonius garnerii","anthonius","garnerii",NULL,NULL,"magister","notarius",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2490,"joanna thomas de leu","joanna","thomas de leu",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2547,"monet folquier","monet","folquier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"jjjjj"
2729,"guillaume nobilis","guillaume","nobilis",NULL,NULL,NULL,"courrier pape",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2889,"anthonius de caos","anthonius","de caos",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2697,"peyre dalhant","peyre","dalhant",NULL,NULL,NULL,"corrier pape","corrier pape",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
2549,"hermintane folquier","hermintane","folquier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2556,"lausa aufreza","lausa","aufreza",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"femme"
2691,"peyre tegula","peyre","tegula",NULL,NULL,NULL,"abriator du pape","pretre",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"homme"
